Benchmark,avgDegree,concurrency,maxIterations,nodeCount,startNode,Mode,Cnt,Score,Error,Units
bfs.BfsEjmlBenchmark.ejmlDenseBfsBoolean,4,1,100,300000,0,avgt,5,161.869,5.663,ms/op
bfs.BfsEjmlBenchmark.ejmlDenseBfsLevel,4,1,100,300000,0,avgt,5,165.683,10.245,ms/op
bfs.BfsEjmlBenchmark.ejmlDenseBfsParent,4,1,100,300000,0,avgt,5,134.589,7.024,ms/op
bfs.BfsEjmlBenchmark.ejmlSparseBfsBoolean,4,1,100,300000,0,avgt,5,497.661,17.562,ms/op
bfs.BfsEjmlBenchmark.ejmlSparseBfsLevel,4,1,100,300000,0,avgt,5,496.798,37.988,ms/op
bfs.BfsEjmlBenchmark.ejmlSparseBfsParent,4,1,100,300000,0,avgt,5,509.580,61.938,ms/op
bfs.BfsEjmlBenchmark.gdsBfsTraverse,4,1,100,300000,0,avgt,5,2.070,0.501,ms/op
bfs.BfsPregelBenchmark.pregelBfsLevel,4,1,100,300000,0,avgt,5,127.080,62.067,ms/op
bfs.BfsPregelBenchmark.pregelBfsLevel,4,8,100,300000,0,avgt,5,93.130,11.481,ms/op
bfs.BfsPregelBenchmark.pregelBfsParent,4,1,100,300000,0,avgt,5,616.241,82.909,ms/op
bfs.BfsPregelBenchmark.pregelBfsParent,4,8,100,300000,0,avgt,5,547.655,55.572,ms/op
bfs.BfsEjmlBenchmark.ejmlDenseBfsBoolean,4,1,100,3000000,0,avgt,5,2014.523,399.629,ms/op
bfs.BfsEjmlBenchmark.ejmlDenseBfsLevel,4,1,100,3000000,0,avgt,5,2157.170,142.307,ms/op
bfs.BfsEjmlBenchmark.ejmlDenseBfsParent,4,1,100,3000000,0,avgt,5,1809.729,454.566,ms/op
bfs.BfsEjmlBenchmark.ejmlSparseBfsBoolean,4,1,100,3000000,0,avgt,5,3821.149,276.959,ms/op
bfs.BfsEjmlBenchmark.ejmlSparseBfsLevel,4,1,100,3000000,0,avgt,5,3696.285,275.459,ms/op
bfs.BfsEjmlBenchmark.ejmlSparseBfsParent,4,1,100,3000000,0,avgt,5,3307.009,128.291,ms/op
bfs.BfsEjmlBenchmark.gdsBfsTraverse,4,1,100,3000000,0,avgt,5,40.403,34.166,ms/op
bfs.BfsPregelBenchmark.pregelBfsLevel,4,1,100,3000000,0,avgt,5,1072.732,820.411,ms/op
bfs.BfsPregelBenchmark.pregelBfsLevel,4,8,100,3000000,0,avgt,5,404.297,90.912,ms/op
bfs.BfsPregelBenchmark.pregelBfsParent,4,1,100,3000000,0,avgt,5,5563.408,2890.606,ms/op
bfs.BfsPregelBenchmark.pregelBfsParent,4,8,100,3000000,0,avgt,5,4438.770,1055.983,ms/op

